Date,portfolio_nav,SPY_nav,QQQ_nav,NVDA_value,TSM_value,AMD_value,AVGO_value,MSFT_value,GOOGL_value,AMZN_value,META_value,ANET_value,PLTR_value
2022-07-25,659941.2897,834215.2152,749898.0176,173098.2821,65085.5828,56463.4268,45583.0947,93201.2968,72998.3150,42192.4950,50975.0271,34023.5269,26320.2425
2022-07-26,642388.8123,824345.5874,735163.4070,168105.8577,63667.7297,54986.3729,45403.6529,90705.9012,71307.6221,39987.7850,48680.9162,33984.0632,25558.9113
2022-07-27,682460.7772,845750.8869,766231.2688,180886.8780,66088.6399,57934.0293,46887.2167,96769.7707,76766.7171,42133.2855,51871.2466,35878.2792,27244.7142
2022-07-28,690526.2975,856358.5257,773723.5508,182859.5033,66827.7358,59127.2810,47404.2558,99531.6073,77554.3457,42589.5515,49161.1519,37927.0583,27543.8069
2022-07-29,702148.5630,868843.2913,787833.9801,184679.5430,66729.6821,60933.2870,47570.3855,101090.7965,78980.2271,47002.4526,48665.6235,38354.5707,28141.9949
2022-08-01,703989.0076,866270.4107,787359.4276,187506.1888,65093.1160,62423.2388,47649.4452,100107.7850,77988.8975,47155.7034,48919.5029,38676.8515,28468.2786
2022-08-02,705572.5433,860555.1931,785011.7070,188370.4777,64897.0392,64042.1938,47191.0463,98959.0868,78172.2285,46727.3016,48999.0381,38522.2884,29691.8430
2022-08-03,721775.7881,874031.1743,806389.8191,192102.0772,65243.9631,63268.1891,48570.6851,101713.7453,80175.2526,48594.1648,51632.6646,40021.8747,30453.1716
2022-08-04,733659.4717,873440.7926,810160.8072,195376.1922,66684.4402,67022.1022,49109.0321,102138.6494,80249.9378,49656.4665,52174.0758,40469.1202,30779.4553
2022-08-05,730340.5983,871964.4319,803542.5819,193078.2285,67702.5759,65990.0959,48988.2233,101872.1857,79761.0656,49039.9823,51115.7283,41659.5828,31132.9299
2022-08-08,709178.2221,870952.0200,800945.2980,180917.3718,66322.4376,64545.2941,48463.1956,100939.5911,79645.6402,48555.8521,52076.1997,41011.7345,26700.9054
2022-08-09,692279.7252,867493.4991,791879.6517,173728.7334,64263.5179,61623.4383,47332.2999,101652.5385,79190.7078,48005.5448,51550.0765,39781.8106,25151.0573
2022-08-10,721307.4506,885714.4076,813981.7236,184008.4851,66872.9777,63887.3948,48896.7147,104122.7313,81275.2123,49698.2603,54550.7653,41919.3800,26075.5290
2022-08-11,716065.9024,885714.4076,809361.7210,182432.4347,67514.0384,63287.5432,48454.3040,103352.1547,80691.2797,48984.2538,54290.7754,41445.8254,25613.2932
2022-08-12,734989.0320,900708.6680,825120.3291,190231.1822,68524.6408,65035.4966,49591.4223,105113.0118,82619.6134,49997.7945,55211.4745,41718.7771,26945.6188
2022-08-15,740431.6706,904420.2581,831788.3266,193515.4488,69060.0962,65151.5970,49656.2671,105674.7084,82891.2200,49868.9216,55330.7632,42337.0296,26945.6188
2022-08-16,735996.0671,906191.6742,829840.2662,191959.7210,67838.3200,64629.1425,49006.8768,105401.0325,82633.1934,50426.1962,54896.4102,42721.7915,26483.3830
2022-08-17,722418.9270,899759.5065,820375.1157,186428.4240,67272.7013,63384.2895,47846.6701,105123.1770,81173.3618,49492.7673,53483.2450,42573.8069,25640.4841
2022-08-18,730424.0486,902374.6443,822348.1403,190881.9368,67325.4947,64783.9464,49610.9714,104708.1882,81594.3440,49562.4253,53425.1319,43652.4569,24879.1530
