Date,portfolio_nav,SPY_nav,QQQ_nav,NVDA_value,TSM_value,AMD_value,AVGO_value,MSFT_value,GOOGL_value,AMZN_value,META_value,ANET_value,PLTR_value
2022-05-20,661151.3107,818154.2316,719570.0303,133824.2606,76181.0148,59854.5051,52832.8749,107758.8348,82222.3203,34651.3830,60922.5908,32307.8943,20595.6322
2022-05-23,668708.8856,833461.8995,731534.4804,135459.6322,76785.2337,60859.5485,51195.9098,111210.5667,84170.1397,34640.4314,61769.3442,32200.8739,20417.2054
2022-05-24,645279.8952,827099.3478,715980.5002,129495.4693,74452.3075,58356.5445,50985.8167,110771.0970,80004.2222,33527.0497,57063.3800,31379.3265,19244.6817
2022-05-25,659174.6424,834406.9301,726000.9466,136076.8282,75870.5234,59310.3742,51708.4883,112008.4499,79879.6440,34388.5767,57866.0672,31775.9338,20289.7567
2022-05-26,681119.8803,851079.5595,746116.4198,143099.1311,76365.6367,63215.3196,53559.4337,113450.5490,81380.1467,35774.2641,60321.3608,32644.6970,21309.3415
2022-05-27,707448.1464,871972.6260,770469.3202,150794.8044,78690.1775,65462.2655,56732.1806,116582.3026,84795.6385,37084.7500,61423.0921,33324.5993,22558.3359
2022-05-31,707160.3637,867080.2048,768425.3039,149680.5207,79974.1248,65206.2024,56425.8041,115997.7516,85886.9396,38715.3703,60954.0612,32194.5772,22125.0118
2022-06-01,701315.1957,860066.7298,762742.2194,146858.7728,79512.5735,64796.5036,55792.6143,116232.4145,85985.0934,39190.2547,59380.1622,32002.5679,21564.2389
2022-06-02,729603.4096,876445.3196,783630.4104,157055.5114,80846.8740,69514.4438,56096.0804,117154.0148,88801.5051,40422.8016,62597.2232,33409.5859,23705.3694
2022-06-03,707999.2739,862061.4860,763240.7219,150065.2905,78690.1775,68048.4928,54790.8006,115208.4410,86475.0668,39404.7506,60053.7920,32474.7215,22787.7407
2022-06-06,710621.3398,864686.3754,765783.0846,150594.3989,78136.3187,67632.3910,54587.5170,114666.5646,88196.0307,40190.5920,61146.0836,32581.7442,22889.6992
2022-06-07,715606.7722,872980.5007,772388.6719,151716.6878,78748.9093,67395.5318,55731.3358,116266.5703,88444.4148,39614.0939,61586.7712,32830.4120,23272.0453
2022-06-08,708794.8343,863489.2915,766830.0179,149519.7424,78438.4111,65231.8092,54989.2161,115374.8596,88478.0058,39027.9342,61898.4112,32436.9507,23399.4940
2022-06-09,686399.5602,842953.1087,746290.6226,144708.9076,76239.7740,63247.3293,54100.2274,112976.9572,86697.4039,37407.9436,57919.5829,30976.4226,22125.0118
2022-06-10,657253.3277,818511.1830,719968.8323,136097.5925,74418.7386,60699.5097,52646.1131,107942.3111,83923.6489,35314.5159,55265.9834,29890.4679,21054.4465
2022-06-13,620525.6266,787433.6591,686493.0240,125457.7091,71792.0918,55687.0938,50345.8292,103364.1654,80323.1916,33388.5613,51705.8168,28987.0799,19474.0877
2022-06-14,624664.2452,785061.0261,687739.2022,126973.1104,73168.3602,55687.0938,50593.8456,104315.6420,80567.0400,32950.5516,51538.9814,28936.7181,19932.9021
2022-06-15,643907.1890,796253.0873,704913.1985,132513.5127,74796.3541,57165.8555,51229.9619,107417.4924,82868.9413,34676.8245,53308.0542,29232.6018,20697.5906
2022-06-16,613881.3116,769900.2426,676472.5776,125088.8729,71301.3216,52524.7308,48357.7467,104520.4488,80052.1580,33385.3424,50638.7170,28461.4162,19550.5572
2022-06-17,621684.9592,771559.9209,684698.1029,127325.9056,71706.2545,52217.4542,48500.7325,105663.9136,80890.1675,34209.8301,51542.1376,28625.0974,21003.4661
2022-06-21,637870.4265,790982.9246,701972.7359,132826.2666,73351.2790,53638.5994,49404.9312,108262.3028,84212.4188,35002.1117,49436.2572,29534.7798,22201.4800
2022-06-22,633642.3142,789548.8212,700949.0505,131174.5626,71630.3279,53612.9926,48652.7447,108002.0433,84169.7680,35089.0684,49058.5249,29286.1119,22966.1698
2022-06-23,638024.0655,797288.4562,711388.0361,130092.1156,70963.8753,52767.9880,48699.8139,110446.8459,84739.3922,36213.0798,49971.3755,30016.3760,24113.2033
